event_name,freq,cum_prop
Order Placed,1301,0.06505
Black Crow Identified,1299,0.13
Viewed Product XYZ,1290,0.1945
Email Open,1268,0.2579
Viewed Product.,1264,0.3211
Opened Email,1258,0.384
Blotout Viewed Product Xyz,1257,0.44685
Placed Order,1256,0.50965
Clicked email link,1251,0.5722
Octane: Quiz Completed: Find The Perfect Eye Shadow   .,1237,0.63405
Active on Site,1233,0.6957
SMS Delivered,1229,0.75715
Clicked email to unsubscribe,1227,0.8185
SMS Sent,1216,0.8793
Clicked Email,1210,0.9398
Unsubscribed,1204,1.0
