profile_id,event_ts,event_name,purchased_7d
728,2025-01-22T16:16:11,Blotout Viewed Product Xyz,0
479,2025-03-15T21:18:31,Active on Site,0
231,2025-02-20T07:24:18,Opened Email,0
2610,2025-04-15T19:34:39,SMS Sent,0
697,2025-04-26T01:33:41,Viewed Product XYZ   ,0
2136,2025-04-14T12:47:14,Clicked email link,0
617,2025-02-28T12:59:51,Active on Site,0
2831,2025-03-02T05:19:35,Email Open,0
806,2025-02-08T01:54:58,Clicked email to unsubscribe,0
2847,2025-03-22T13:13:07,Black Crow Identified,0
1080,2025-01-22T23:42:55,Clicked email to unsubscribe,0
375,2025-03-27T13:20:17,Active on Site,0
1825,2025-03-17T17:28:21,Blotout Viewed Product Xyz,0
1552,2025-03-12T15:49:53,Octane: Quiz Completed: Find The Perfect Eye Shadow   .,0
2637,2025-04-08T08:23:26,Viewed Product XYZ   ,0
1818,2025-01-25T00:05:43,Placed Order,1
2476,2025-03-30T19:41:23,Email Open,0
1609,2025-03-30T02:47:38,Order Placed,1
1952,2025-02-02T19:21:32,Octane: Quiz Completed: Find The Perfect Eye Shadow   .,0
725,2025-01-07T14:47:45,Clicked email to unsubscribe,0
205,2025-01-21T22:33:48,Email Open,0
499,2025-03-23T00:30:43,Viewed Product XYZ   ,0
2662,2025-01-18T19:18:10,Order Placed,1
1677,2025-03-07T21:03:39,Clicked email link,0
1288,2025-04-24T03:02:07,SMS Delivered,0
1650,2025-04-16T19:08:19,Viewed Product XYZ   ,0
1470,2025-01-06T00:51:01,Viewed Product.,0
2037,2025-03-22T10:51:16,Order Placed,1
2612,2025-03-28T15:17:46,Viewed Product.,0
1791,2025-03-14T02:18:30,Clicked email link,0
1682,2025-04-10T00:40:40,Placed Order,1
780,2025-03-22T00:51:42,Blotout Viewed Product Xyz,0
651,2025-04-18T08:48:15,Black Crow Identified,0
2641,2025-02-15T15:03:36,Email Open,0
2293,2025-02-25T09:37:07,Active on Site,0
2323,2025-04-02T00:29:12,Active on Site,0
803,2025-04-09T09:32:19,Viewed Product XYZ   ,0
1155,2025-01-11T12:18:59,Octane: Quiz Completed: Find The Perfect Eye Shadow   .,0
1893,2025-04-28T15:38:49,Viewed Product.,0
2545,2025-01-23T09:58:04,Order Placed,1
2316,2025-03-22T12:24:27,Order Placed,1
196,2025-03-21T10:15:21,Clicked email link,0
1523,2025-03-29T10:42:19,Viewed Product.,1
2250,2025-02-06T16:21:28,Clicked Email,0
508,2025-01-08T01:20:48,Viewed Product XYZ   ,0
717,2025-02-06T02:42:05,Placed Order,1
1377,2025-02-08T23:58:41,Clicked Email,0
660,2025-02-11T16:57:48,Viewed Product XYZ   ,0
1337,2025-02-08T18:04:10,Octane: Quiz Completed: Find The Perfect Eye Shadow   .,1
150,2025-04-20T12:07:53,Unsubscribed,0
667,2025-03-23T16:01:17,Email Open,0
483,2025-04-01T21:16:53,SMS Sent,0
2915,2025-03-21T14:55:07,SMS Sent,0
2153,2025-02-01T08:26:40,Order Placed,1
2921,2025-01-20T16:59:54,Clicked Email,0
1949,2025-01-21T15:48:53,Clicked Email,0
518,2025-03-06T13:41:01,Opened Email,0
621,2025-04-04T09:15:17,Clicked email link,0
1701,2025-03-18T03:37:03,SMS Delivered,0
1699,2025-01-19T05:04:43,Placed Order,1
960,2025-03-05T04:00:26,Clicked email to unsubscribe,0
2965,2025-01-10T06:21:24,Clicked Email,0
